,ACH-000217,ACH-000221,ACH-000316,ACH-000361,ACH-000393,ACH-000420,ACH-000422,ACH-000471,ACH-000475,ACH-000476,ACH-000478,ACH-000480,ACH-000483,ACH-000493,ACH-000537,ACH-000577,ACH-000620,ACH-000671,ACH-000734,ACH-000739,ACH-000848,ACH-001318,ACH-001853,ACH-002523
ZRANB2,-0.306343052310201,-0.2179442464321984,-0.2026247090444126,0.0148193065010645,-0.2269584816303588,-0.5067921943289599,-0.3442488221039642,-0.4502633359428589,-0.4049908853657282,-0.4680746292330365,-0.2476938962120639,-0.6468637892215536,-0.4782537821434102,-0.4883835516212693,-0.2296736584012028,-0.2788987345232519,-0.1411989102084259,-0.1707691993859033,-0.4454021832639709,-1.1117335565852768,-0.5489880956390948,-0.4906361670840579,-0.1489996559233523,-0.335006029359361
COMMD5,-0.0761679360178713,-0.0899753877759192,-0.5084400745603915,-0.1203305883574092,-0.2399494402204612,-0.1702791403337292,-0.0886245922903219,0.033134107986697,-0.2789526252825917,0.0616126428991184,-0.1252089412264924,-0.2002783451163477,-0.0731853122612126,-0.0838680564976861,-0.3348548966691552,0.0024301626026862,-0.1673971413814856,0.002451298381197,-0.2224598956823718,-0.2957086636001282,-0.1084124325462729,-0.020629143845776,-0.1795414763695662,-0.347262776883717
ILK,-0.2672886923508658,0.164620248792903,-0.6121421823421216,-0.1493613692381915,-0.7656056091669312,-0.7738796882814244,-0.3931126975092019,-0.7777049006793808,-0.1018806290980445,-0.8011277135858602,-0.124526622334483,-0.1848354663764057,-0.5459047622214258,-0.4692850427390466,-0.4753726750283956,-0.7973855246357401,-0.5475635210060024,-0.3539169308105446,-0.1974771309124495,-0.4214799392799948,-0.1877105367045692,-0.2798037914426919,-0.610380545698556,-0.8297149449229597
PPIF,-0.0633542026251892,-0.1093290648971638,0.0074630389937191,0.0403717225060964,0.016848562731719,-0.0838977983103707,-0.2513670530770985,-0.0672986677774803,-0.0382579662020699,-0.0922967339108108,-0.0926952345374158,-0.0021512053056089,-0.0529780079155464,-0.0132509562614383,-0.1469474169151502,-0.2489342972454689,0.0668185927746163,0.0226295942341925,-0.1803982713477587,0.0175175820641556,-0.0240624010785078,0.0001230997740097,0.0029181920567495,-0.155852990597171
DDX21,-0.9441140428749728,-1.101922820629663,-1.3123497498730623,-1.450803406586595,-1.157722743527167,-0.8507106433331388,-1.4466854479425617,-1.1900846720038,-1.3435998912281473,-1.0869030071861003,-0.9085304206957336,-1.028879025125114,-1.5608910568879628,-1.434308890668555,-1.0591088219692213,-0.8675864863422108,-1.054089766277864,-0.9954694763281432,-1.240087956722573,-1.004905346065069,-2.025820306828875,-1.3797170864288075,-0.930121986664493,-1.1682269494202198
PTH,0.0368540074904077,0.0168549327582832,0.0647365494472962,0.0190710238213635,-0.0377408892906118,0.0909754164208618,0.0300635132061561,0.0178925411222897,-0.0019592580476823,0.0755968506647988,0.2166935477578101,0.0026851649996257,0.0390208765768079,0.0380550202041026,0.0137989644440096,0.0014266631131564,-0.0467803573041353,0.0573497101850843,-0.0805096157513569,-0.0822402035788492,0.0574916650250173,0.058233200502617,0.0216105387014712,0.093708944145753
PFDN6,-1.51732904485209,-1.9605841107175568,-1.7497299218532631,-1.899590363975794,-2.3101225594371857,-1.8371443593957952,-1.93517083900443,-1.7797035690251202,-1.5932256075397966,-1.82122532541143,-1.48390313712916,-1.533024494208181,-2.6052806407780267,-2.092574839143168,-1.760035410136865,-2.2792749452180456,-1.6651670530194145,-1.538516549239647,-1.5693756826455791,-1.6637428815986863,-1.7354613793421765,-1.6214737596163629,-1.38288531604021,-1.894007216902861
EIF4G1,-0.5796268976777303,-0.920289492413022,-0.7572281882364932,-0.8278351110411739,-0.8755396081112519,-0.9151493524286314,-0.4744922158839296,-0.7599587503136956,-1.2407083219712511,-0.8271837593409237,-0.4982045921753389,-0.899756607250588,-0.5192161012571458,-0.6087156052829615,-0.6734795730672936,-0.9504864363772638,-0.8255213032323341,-0.8500134210352854,-1.2137923037006946,-0.7979980701945352,-0.9920365235120664,-0.7595925240781176,-1.1464890010686013,-1.214696908836027
RBMX,-1.5076099633195257,-2.038761881467308,-1.2216917735628376,-1.715043177173189,-1.5408902648590426,-1.5065971481444858,-1.419111803412218,-1.3541540536788437,-1.357469352173807,-1.2351009566896494,-1.7646730173102625,-2.168497418641888,-1.470264203963098,-1.2651599256260355,-1.4063880796837804,-1.3672525915198972,-1.6170892984923118,-1.431949620189955,-1.6825939018009215,-1.9965978328291003,-1.3067970834008191,-1.756787430202574,-1.344855565207439,-1.5759576151302146
NPHP4,-0.0345031089038816,-0.0158201664828431,-0.185806230081868,0.101938979345263,-0.2224314200799227,-0.4041112070370269,-0.1711032894737894,-0.1866229273388837,-0.1904425040556716,-0.1817311513539673,-0.1891336130201629,-0.1845665682664796,-0.1427194688040961,-0.3071889038687168,-0.0979576086119969,0.0665125090348719,-0.2824999089652154,0.0481241726151752,-0.1504255687510411,-0.092385587710192,-0.1949691100867972,0.0169144071327922,0.0644253854353667,-0.1111871398511194
CAV1,0.1345556956529749,0.1247267035890214,0.2787493417914197,0.12007154418694,0.028386867975961,0.0063479817231293,0.2093645400168436,0.0509953035317901,0.0423959122792764,-0.0934987798895393,0.1450884591870624,-0.0178523825534998,0.0159429462739227,0.0991898558146816,0.039558781028957,0.1701154129634187,-0.0073754667581,0.2400098538272038,0.1311865074428507,0.0602501814663099,-0.1657295884179023,0.0515080543870323,-0.0067781430671968,0.0674830712623921
IGF2BP3,-0.0945454122742028,-0.2373890491159826,0.0688118663246407,-0.1178763596055861,0.0323303759492565,0.0283042167598189,0.0769492882960176,0.1430118758487457,-0.0459806644523592,0.136550294019342,-0.166739976585586,-0.1372417888147949,-0.0699056984865752,-0.0712621025986058,-0.0016807748286494,0.0741598523278935,-0.0776243372773646,-0.1886051204854504,-0.0593341114089906,-0.1307242250796387,0.0446813372032647,-0.098370168991373,-0.0232460219600229,0.1010280253233875
TIMM17B,0.0318101065268944,0.0306413205008495,-0.0461505502634771,0.0063190430294734,-0.0297312219868244,0.1431271781043401,-0.041736234736161,-0.0930427978519433,0.0285881075786418,-0.0067488630732039,-0.088712927181713,0.0820504600203451,-0.0010362649521028,0.002879492951469,-0.0619275267177063,-0.0117326176336841,-0.0677935152195654,-0.1974458292024272,-0.0002405791033004,0.2177589496487686,-0.0876112087407799,-0.1282132253837588,-0.2516460489571334,0.0799664380656601
GRB2,-1.6470676494495613,-0.6805875795572482,-1.0067584792667057,-0.7052214809607642,-1.544401858847578,-1.3027660931723553,-1.6045177117019558,-1.8459645451750688,-1.7512849463590023,-1.5175091937285403,-0.9012434454099884,-1.3899476937833666,-1.337089516262011,-0.9429532194601374,-2.0503779610751867,-1.5095976877987782,-0.984791687994488,-1.1481974944863218,-1.7032304789554131,-0.5412702890144283,-1.5929699195495717,-1.8233702490013903,-1.5832331540048723,-1.923748419378506
DNAAF5,0.0869147368067496,-0.1921368923105328,-0.2900227484491555,-0.2013702846107055,-0.1183080105419371,0.0383318125177984,-0.0097370001703091,-0.2953835333181769,-0.2996187013080997,0.040177878571975,-0.0713655251698627,-0.6903376029099386,-0.0294378738614431,-0.1621494721329472,-0.0027852431457308,0.1374317941232883,0.0509834820488321,-0.9982711507168496,-0.3067792574370646,-0.3026847594270755,-0.9727369145895028,-0.2947728884967751,0.072363984820048,-0.5800190754211393
PDCD6,0.0001678483431408,0.0556623997062754,-0.3677423115483832,-0.435512429804537,-0.3916311487853037,-0.206425914531748,-0.2560885202288103,-0.2677005899798829,-0.6104838707923878,-0.0505579940386713,-0.4791276799659748,-0.1023652121246029,-0.0223570746434425,-0.2657608839615623,-0.1550502676858813,-0.1109117013870931,-0.5167380379670709,-0.2265261682298283,-0.4420242280639409,-0.2714853685311316,-0.076134771245602,-0.1066063613242868,-0.3906910958201584,-0.2324558246894263
