,ACH-000078,ACH-000099,ACH-000120,ACH-000149,ACH-000227,ACH-000259,ACH-000260,ACH-000310,ACH-000312,ACH-000341,ACH-000366,ACH-000804,ACH-001188,ACH-001300,ACH-001301,ACH-001302,ACH-001303,ACH-001338,ACH-001344,ACH-001354,ACH-001366,ACH-001367,ACH-001481,ACH-001548,ACH-001603,ACH-001674,ACH-002080,ACH-002083,ACH-002217,ACH-002261,ACH-002278,ACH-002280,ACH-002282,ACH-002283,ACH-002284,ACH-002285,ACH-002922
FOXG1,-0.0019899074248751,0.0805896055314454,-0.0190569136162036,-0.0246608856312019,0.1251413780047883,-0.1403599936652415,-0.1314231398359188,0.0098678570662896,-0.0903634908547774,-0.0675242421647573,-0.0137779173024626,-0.0557480996160705,0.0637463739510261,0.0174797954504251,0.0447120052518508,-0.2689476314405943,0.1118119727422485,0.102147496642643,-0.2460897949605397,-0.080593477969731,-0.0243597137525692,-0.1090738734561914,-0.1561780825769863,0.1593334734832554,-0.0598121083858675,-0.1563239689142887,-0.0790845082052111,-0.1088984503633302,-0.1143112805854974,-0.0824125403531419,-0.0537947673548765,-0.1416095408206836,0.0128391212136683,-0.0606824517705843,-0.1562176969770838,0.0430917870950906,-0.0497143582389632
COG8,-0.9415122338638574,-0.5488163887685682,-0.5927855601998532,-0.6565320014043279,-0.5665355500243607,-0.6440452128575073,-0.2822567630633488,-1.0008227692396874,-0.6177433787090925,-0.4743484818746271,-0.4309533437441883,-0.7231736263672469,-0.8377789183896445,-0.4553142407621118,-1.101982019884339,-0.7464526266583049,-0.4710436500610607,-0.5605586366735353,-0.803755569540196,-0.5168192711990884,-0.5711561626269079,-0.5679605912592551,-0.8364826578387462,-0.7012862220394501,-0.4156294566053433,-0.5324012448215006,-0.5369804095795953,-0.9013983595096852,-1.641764622977867,-0.4903367633957372,-0.563468255266923,-0.7555901969526446,-0.2997927115101531,-0.4063077105726362,-0.2422379886416024,-0.441054202307246,-0.4923680978377368
PRKAG1,-0.3616594845884779,-0.3017429739579411,-0.2085385477821133,0.0065444292538626,-0.0100911599864836,-0.0848647574754644,-0.1536906576380962,-0.1892244915301868,-0.2409819895616529,-0.1829830183348176,-0.1713938659649362,-0.0784097947755293,-0.3845417131469099,-0.2603696707330868,-0.3078340020124018,-0.1977198244192792,-0.3589098163246801,-0.1741685458326627,-0.1322579636150112,-0.44976666264713,-0.2598209508974811,-0.0079873104724109,-0.4857244817346066,-0.5359226796227703,-0.094761956519508,-0.3230707582910213,-0.2298415944089879,0.0212397595521803,0.0653870061902015,0.1048006269345247,0.1749675685762305,0.016594128226374,-0.3105713612867091,-0.168412635048678,-0.1734302817357735,-0.0696975182530649,-0.3469185969066617
SGCE,-0.212548978565952,-0.3527625172673225,-0.3554657748377601,-0.0768727508849988,-0.1783854821540261,-0.2392440677002335,-0.1556788917958874,-0.605229874839672,-0.2449062671623417,-0.0457826163625537,0.1443177658081927,-0.1775614322381792,-0.3568797790842534,-0.1413947130167097,-0.187669219143734,-0.5209628040224134,-0.4665485544169432,-0.4659477299220123,-0.3423645951499761,-0.1208054059683547,-0.3293000238494012,-0.9386718330744538,-0.1087820410254722,-0.2941423118894166,-0.1100433649674585,-0.2191428406690176,-0.2020239099918713,-0.0760211035944012,-0.1927678938735091,-0.2380384563366658,-0.0883978055756997,0.0809452344333253,-0.2500662144760733,-0.1918022995118987,-0.2080865488667259,-0.1379768576098133,-0.2862747336580452
RAF1,-0.3047861546702928,-0.4088953516505355,-0.8882743199908648,-0.1691063706523443,-0.2923753676550089,-0.1163193619564094,-0.4605277243048205,0.0101764999482673,-0.4367766021505982,-0.2884945617947764,-0.1480601391845094,0.0152482982170083,0.0024380149405611,0.0656790840739799,-0.4246438197533027,-0.1220129322678289,-0.0544387645262562,-0.1512123721183088,-0.0834570037947545,0.0436300911819968,-0.0273334427115519,-0.0263447610129,-0.2019020605538401,-0.2896796014118394,-0.6988644081443274,-0.0647315179915013,-0.0747736522031005,-0.3706748917271121,-0.7416621323660981,-0.1804497387987636,-0.5754930382724041,-0.2252502589967054,-0.0330788633198503,-0.0035681706383008,-0.2068814207609459,-0.1691457091735769,-0.0145401722259714
NPLOC4,-0.9854172971374546,-1.3237713613336917,-1.6502407601994225,-0.9134731186662204,-0.5672380605266895,-1.4452205526498814,-1.4121582873799423,-0.9800290764402144,-1.4022349497987563,-1.7466938590147287,-1.365397534776183,-1.044531644580532,-1.2293176160377075,-1.1660143977821429,-1.480200751747868,-1.5094758113923918,-1.0269340151174735,-1.4410335032953066,-0.6181132820822084,-1.2838308948498671,-1.3976962312137586,-1.00578128015806,-1.3045319498044612,-1.0112425887675194,-0.7621399894323998,-1.4354408417967397,-1.5150370258317054,-1.650236438126945,-0.7078573604884633,-1.5905839297883104,-1.9669352133147764,-1.899354538813253,-0.9917382201325424,-1.4473342009608572,-0.3874409697068384,-0.9088641661370854,-1.4888481260715205
KLHL9,0.0740365465974313,0.0919877044256643,0.2007048566567728,0.1866911567073158,0.147187939482609,0.1749473670015867,0.1083713592639128,-0.0426014613277227,0.0969633631634975,-0.1030029239176627,0.2475380954662289,0.0415784127591018,-0.0105098148880918,0.0458046033253039,0.0209729187918943,0.2748218401285412,0.1857353984490944,0.1258737622444659,0.2791538562190921,-0.0361637312744427,0.0199011072109844,0.0820743513936023,0.0410124254745685,0.111911325692708,0.2545875355118375,-0.0407039975837018,0.065854070851275,0.1024590284045797,-0.0063565859094079,0.1095967896312406,0.0486022345988828,0.1306156704329274,0.0769820527763978,0.2610948868247511,0.2250533394662874,-0.0100523072053326,0.2381054939285721
RPS5,-1.7962647700784795,-1.4694327706167656,-2.2303118663707497,-1.9632968658055008,-1.7735677916032278,-2.2873869477138418,-2.208911460423877,-2.4031692556112865,-1.9302314207964508,-2.507083555373276,-2.203383677549663,-2.0769060996128785,-1.9875240301464123,-2.040662700548748,-1.91866291852004,-2.3566943882240894,-1.9111840808666605,-1.7001905542915117,-2.1434795143333107,-1.8918778789500736,-2.05010800741978,-2.4426971420351955,-2.3880001358784,-1.9208384180034428,-2.381020612472111,-1.4962571216264031,-1.5285442646947056,-2.473714671679548,-2.234169682439666,-2.59979373423516,-2.694063281302214,-2.2295519782506297,-1.51255846584262,-2.392980765954614,-1.515468421244763,-1.6812113625297644,-1.7254939435071095
API5,-0.1305573132105392,-0.1088577921680957,-0.1636169154020404,-0.1066007023682313,-0.3548915798308159,-0.1180504163481749,-0.2945865871632003,-0.1128511075728518,-0.0240273232052553,0.093955802169257,-0.1625209025882347,-0.0378636360677725,-0.168662675720562,-0.0435248509340392,-0.1687666293941395,0.0172122532267105,-0.0338082034986122,-0.2870605382040255,-0.4212701192323571,-0.1292286011029949,-0.1581910078805791,-0.1349367113741404,-0.056833053366848,-0.2655658140888485,0.0451862265697353,-0.1763624089691983,-0.335455428294117,-0.5546220797029175,-0.0821178984562315,-0.0964595840037494,0.1654544410618825,0.1711425553542752,-0.0096075636134979,-0.0700559021449526,0.0319198169957756,-0.1008346287718007,-0.1351435493004271
DAP3,-0.7321938992872403,-0.7139710898834541,-0.7204026258726957,-0.6772294427072536,-0.435501929458653,-1.140679992310485,-0.6569827044475753,-0.5241832667546761,-1.0277616682920492,-0.5524604569708749,-0.5514086273866534,-0.4076646539137291,-0.3695027758583901,-0.659075520278949,-0.5266325337018172,-0.5828162959017533,-0.5713464285466036,-1.1495917745842548,-1.059180565964994,-0.5153844475374315,-0.4265858468015205,-0.6751788940152436,-0.4735881468833159,-0.7157960527910412,-0.6946833097193553,-0.8890215709456265,-1.0967838554124232,-0.6600625704683031,-0.7643689152094482,-0.7040444927206415,-0.8953355494464939,-1.0623595248790074,-0.8475088534802236,-0.7509606534602171,-0.7724011581893269,-1.6444577236176523,-1.0320230686794052
IRAK1,0.0113954964114415,0.0802895704825209,0.047063023674044,-0.1696786276181384,0.1627788750923867,0.002053850859337,0.0728152846213102,0.088527117083394,-0.0118176615274025,0.2321413879622766,-0.0026691457436475,-0.0732255809056661,0.0323420344707308,-0.0591386709120621,-0.0378385121527301,-0.0673488200953579,0.0148572166347127,0.1374186641817872,-0.0271383339121376,-0.1535085534847255,0.0721174261552304,0.1644323412072798,0.1846921604920284,0.2064170844503264,-0.1006114619317877,0.0632758424917304,0.1377961185543466,-0.0641431557103461,0.0661349150842754,-0.024191385515582,-0.0748884027077687,0.1785225492440612,0.0297918160432929,0.1232647771261104,-0.0090297629982023,0.0955167574767289,0.0727290947057767
DDX28,-0.1479647516671355,-0.5471059317943088,-0.1062114668286441,-0.2481761783798782,-0.1864278589177763,-0.7345129142111071,-0.3054763649431821,-0.0427890102523081,-0.2902761404554098,-0.3083904733703175,-0.2024211285474905,-0.1663815947892845,-0.3371102636218353,-0.3039199586122778,-0.0076871743316013,-0.075921564793064,-0.3226368446510126,-1.026356100665669,-0.0988495339768174,-0.3127475833070757,-0.3339910536395163,-0.481319631882573,-0.2071212043366994,-0.1700748015752978,-0.3461983117356188,-0.3936859016394207,-0.5429245459464466,-0.4797642528122998,-0.5128476247451287,-0.5914407025947463,-0.5969670823457941,-1.2463470960534284,-0.6250126364324059,-0.3003203400034192,-0.1548657721968078,-0.8124288086204039,-0.4064698109823477
ERCC1,-0.0805474527176935,-0.2185062529597383,-0.5578205749225497,-0.5477000750348064,-0.0887452817006313,-0.16038533734727,-0.2424540718507123,-0.0653927943152172,-0.1895529733159076,-0.152604104772982,-0.1600607288050914,-0.1202367124735643,-0.2957761872906942,-0.272247720756711,-0.1086319115174168,-0.1915985526351104,-0.2407380905743519,-0.2923067320211729,-0.2215690697883152,-0.1659771711565227,-0.2062125383487128,-0.1488128319235601,-0.2187350612259573,-0.0846931388451449,-0.2367650409781136,-0.2269898920852089,-0.1510792957944848,-0.5088090289868532,-0.1821800969136404,-0.1175873094322601,-0.2406760521134994,-0.1731089944069745,-0.2002174748094304,-0.1712929505452178,-0.1502249912965832,-0.2916700331166956,-0.1318101823965344
FOSB,-0.0864107848333664,-0.0309248598016876,-0.0055463592148596,-0.1170150430821689,-0.0476846190362644,-0.0329472411997285,-0.0919552434483036,-0.1081200342502491,-0.1777218002877769,-0.1357232527273313,0.0321539801312002,-0.063195922764483,-0.0820429851751572,-0.1802973041855344,-0.2490036888418841,0.1183249278987816,0.1468438817255938,-0.0387839530791047,-0.2590742130907587,-0.0661915800888696,-0.0461644166268037,0.0402166167267621,-0.0477097937298005,-0.1094343656783369,-0.0619633675756387,-0.104005589041409,-0.0412422683809921,-0.1593263033007008,-0.1111032410214613,-0.0188016921297704,0.0716077071541979,-0.2517772972936796,0.0656205247179933,-0.0709937002071893,-0.0227969375974756,-0.0896004024267508,-0.019134831884275
PPP2CB,0.1472710715195589,0.0308031078080687,0.1124059017882116,0.096165723468489,0.1769441608417579,-0.011248292554929,0.1322052158193065,0.1112303665518497,0.2091908829196197,-0.0055428636495093,0.0530202715013698,0.0731112368198755,0.1548736108588057,0.0984572413028945,0.2196396601485893,0.0023838486210416,0.0075697922752089,0.0368170233340868,-0.0225096216665185,0.1245140875884001,0.0285878514394509,0.0795340285311285,0.0539922709960855,0.1976308853419687,0.0562547384502456,0.1088278552148694,0.1104621263544477,0.1191283785202299,0.0756058647119798,0.0405540898642935,0.2576907972687217,0.1506206252241597,0.2300544013769777,0.2156191303980824,0.0864746494010868,0.2364589690451271,0.0526697647937276
THBS1,-0.0444818764773027,-0.0932959146524786,0.184050581952294,0.1804604467544694,-0.1131836146266849,0.0471867691281473,0.0200346595479143,0.2004629265512757,-0.0046478462614338,0.0432218923885699,0.0197744284342075,0.0835734521971255,0.0571269402698739,0.0430580476746917,0.0944442840689434,-0.1256812745691896,0.1141163443816117,-0.0331991618431024,-0.0992702739323694,0.1108885034772754,-0.1274641883203988,0.042700075699026,0.1033007570665002,-0.0983804811201291,-0.0944341703721781,-0.0307349230361804,0.0120943693974029,-0.1133539979739597,-0.0721560727210783,0.0202416922916687,0.0695192827260759,-0.1992895046229175,-0.1371294812424723,0.0861834548058838,0.0001233915782461,0.1174274596705894,0.0940694561018438
